北京大学	709	120	149	143
清华大学	706	129	149	137
复旦大学	704	128	149	144
上海交通大学	704	124	148	141
复旦大学医学院	699	125	134	140
北京大学医学部	697	133	135	147
中国科学技术大学	693	123	145	136
上海交通大学医学院	691	123	138	136
浙江大学	691	135	145	136
南京大学	689	130	139	143
中国人民大学	689	122	139	140
北京航空航天大学	685	131	135	141
浙江大学医学院	679	123	141	134
北京理工大学	676	118	139	143
西安交通大学	675	125	135	135
中央财经大学	675	126	130	139
同济大学	669	123	135	128
南开大学	668	122	130	133
北京师范大学	667	120	134	139
武汉大学	667	122	135	132
北京外国语大学	664	133	129	138
北京邮电大学	662	115	132	133
天津大学	662	127	127	135
中国人民大学(苏州校区)	661	124	135	134
华中科技大学	659	115	141	132
东南大学	658	126	128	138
厦门大学	658	122	114	135
中山大学	658	123	132	129
哈尔滨工业大学	657	128	133	129
中国政法大学	656	123	122	137
西南财经大学	655	121	129	136
电子科技大学	654	112	127	134
华东师范大学	654	120	130	132
华南理工大学	651	126	137	129
北京交通大学	650	128	132	132
上海外国语大学	650	130	135	140
西北工业大学	650	111	132	134
大连理工大学	649	123	137	127
上海财经大学	648	129	130	133
首都医科大学	648	121	125	143
华北电力大学(北京)	645	111	138	131
ft东大学	645	122	128	136
四川大学	645	122	130	140
北京科技大学	643	114	124	136
对外经济贸易大学	643	131	130	138
南京航空航天大学	643	122	115	139
中南大学	642	120	127	141
湖南大学	641	115	124	140
中国传媒大学	641	125	133	134
重庆大学	641	126	129	136
天津医科大学	640	115	121	139
西安电子科技大学	638	123	119	137
中国农业大学	638	127	135	137
哈尔滨工业大学(威海)	636	132	128	141
中南财经政法大学	636	134	126	131
北京工业大学	635	120	119	128
吉林大学	635	113	127	124
南京理工大学	635	128	125	125
南京审计大学	635	121	125	137
中央民族大学	635	122	124	141
电子科技大学(沙河校区)	634	128	127	125
东北大学	634	117	126	137
中国海洋大学	634	122	123	139
北京电影学院	633	126	125	131
东北财经大学	633	124	124	139
首都经济贸易大学	633	121	123	136
上海大学	632	123	118	138
北京化工大学	631	106	136	112
兰州大学	631	123	115	135
西南交通大学	631	114	133	121
ft东大学威海分校	629	129	128	126
苏州大学	629	112	130	139
中国医科大学	629	117	126	126
北京第二外国语学院	628	130	104	143
北京林业大学	628	109	135	122
华北电力大学(保定)	628	116	118	117
华中师范大学	628	114	121	127
武汉理工大学	628	126	121	132
华东理工大学	627	121	121	133
北京邮电大学(宏福校区)	626	126	124	135
大连医科大学	626	111	128	118
哈尔滨工程大学	626	125	115	130
天津财经大学	626	122	123	122
东华大学	624	121	126	131
南方医科大学	624	112	109	130
河海大学	623	116	121	127
南京邮电大学	623	115	124	133
中国地质大学(北京)	623	115	125	122
中国石油大学(北京)	623	112	124	133
华东政法大学	622	131	121	131
上海对外经贸大学	622	114	128	130
北京工商大学	621	109	121	119
北京语言大学	621	123	109	133
长安大学	621	121	125	131
大连海事大学	621	110	112	130
大连理工大学(盘锦校区)	621	126	125	130
中国药科大学	621	128	119	131
北京中医药大学	620	117	129	129
合肥工业大学	620	124	130	125
江南大学	620	120	119	127
西北大学	620	110	130	117
ft西医科大学	619	113	126	127
中国矿业大学(北京)	619	111	140	119
福州大学	618	114	119	136
西南政法大学	618	120	127	133
哈尔滨医科大学	617	121	126	118
首都师范大学	617	122	121	127
上海立信会计金融学院	616	122	120	133
深圳大学	615	124	122	117
南京财经大学	614	110	122	126
东北大学秦皇岛分校	613	124	122	124
广东外语外贸大学	613	132	113	138
辽宁大学	613	122	127	117
西南大学	613	122	117	130
南京师范大学	612	126	116	137
中国地质大学(武汉)	612	115	130	135
陕西师范大学	611	127	120	116
西安外国语大学	611	133	107	132
